sport,sport_key,game_id,game_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market,market_last_update,team,price,point,query_time
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,fanduel,FanDuel,2026-01-14T20:28:35Z,h2h,2026-01-14T20:28:35Z,Indiana Hoosiers,-340,,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,fanduel,FanDuel,2026-01-14T20:28:35Z,h2h,2026-01-14T20:28:35Z,Miami Hurricanes,275,,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,fanduel,FanDuel,2026-01-14T20:28:35Z,spreads,2026-01-14T20:28:35Z,Indiana Hoosiers,-110,-8.5,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,fanduel,FanDuel,2026-01-14T20:28:35Z,spreads,2026-01-14T20:28:35Z,Miami Hurricanes,-110,8.5,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,fanduel,FanDuel,2026-01-14T20:28:35Z,totals,2026-01-14T20:28:35Z,Over,-105,47.5,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,fanduel,FanDuel,2026-01-14T20:28:35Z,totals,2026-01-14T20:28:35Z,Under,-115,47.5,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,lowvig,LowVig.ag,2026-01-14T20:27:42Z,h2h,2026-01-14T20:27:42Z,Indiana Hoosiers,-350,,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,lowvig,LowVig.ag,2026-01-14T20:27:42Z,h2h,2026-01-14T20:27:42Z,Miami Hurricanes,280,,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,lowvig,LowVig.ag,2026-01-14T20:27:42Z,spreads,2026-01-14T20:27:42Z,Indiana Hoosiers,-108,-8.5,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,lowvig,LowVig.ag,2026-01-14T20:27:42Z,spreads,2026-01-14T20:27:42Z,Miami Hurricanes,-104,8.5,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,lowvig,LowVig.ag,2026-01-14T20:27:42Z,totals,2026-01-14T20:27:42Z,Over,-108,47.0,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,lowvig,LowVig.ag,2026-01-14T20:27:42Z,totals,2026-01-14T20:27:42Z,Under,-108,47.0,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,betonlineag,BetOnline.ag,2026-01-14T20:28:00Z,h2h,2026-01-14T20:28:00Z,Indiana Hoosiers,-350,,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,betonlineag,BetOnline.ag,2026-01-14T20:28:00Z,h2h,2026-01-14T20:28:00Z,Miami Hurricanes,280,,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,betonlineag,BetOnline.ag,2026-01-14T20:28:00Z,spreads,2026-01-14T20:28:00Z,Indiana Hoosiers,-110,-8.5,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,betonlineag,BetOnline.ag,2026-01-14T20:28:00Z,spreads,2026-01-14T20:28:00Z,Miami Hurricanes,-110,8.5,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,betonlineag,BetOnline.ag,2026-01-14T20:28:00Z,totals,2026-01-14T20:28:00Z,Over,-110,47.0,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,betonlineag,BetOnline.ag,2026-01-14T20:28:00Z,totals,2026-01-14T20:28:00Z,Under,-110,47.0,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,draftkings,DraftKings,2026-01-14T20:27:42Z,h2h,2026-01-14T20:27:42Z,Indiana Hoosiers,-340,,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,draftkings,DraftKings,2026-01-14T20:27:42Z,h2h,2026-01-14T20:27:42Z,Miami Hurricanes,270,,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,draftkings,DraftKings,2026-01-14T20:27:42Z,spreads,2026-01-14T20:27:42Z,Indiana Hoosiers,-110,-8.5,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,draftkings,DraftKings,2026-01-14T20:27:42Z,spreads,2026-01-14T20:27:42Z,Miami Hurricanes,-110,8.5,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,draftkings,DraftKings,2026-01-14T20:27:42Z,totals,2026-01-14T20:27:42Z,Over,-110,47.5,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,draftkings,DraftKings,2026-01-14T20:27:42Z,totals,2026-01-14T20:27:42Z,Under,-110,47.5,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,betrivers,BetRivers,2026-01-14T20:27:42Z,h2h,2026-01-14T20:27:42Z,Indiana Hoosiers,-345,,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,betrivers,BetRivers,2026-01-14T20:27:42Z,h2h,2026-01-14T20:27:42Z,Miami Hurricanes,270,,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,betrivers,BetRivers,2026-01-14T20:27:42Z,spreads,2026-01-14T20:27:42Z,Indiana Hoosiers,-113,-8.5,20260114202837258208
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,betrivers,BetRivers,2026-01-14T20:27:42Z,spreads,2026-01-14T20:27:42Z,Miami Hurricanes,-113,8.5,20260114202837258208
