sport,sport_key,game_id,game_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market,market_last_update,team,price,point,query_time
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,fanduel,FanDuel,2026-01-11T05:00:57Z,h2h,2026-01-11T05:00:57Z,Indiana Hoosiers,-320,,20260111050103637889
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,fanduel,FanDuel,2026-01-11T05:00:57Z,h2h,2026-01-11T05:00:57Z,Miami Hurricanes,260,,20260111050103637889
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,fanduel,FanDuel,2026-01-11T05:00:57Z,spreads,2026-01-11T05:00:57Z,Indiana Hoosiers,-112,-7.5,20260111050103637889
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,fanduel,FanDuel,2026-01-11T05:00:57Z,spreads,2026-01-11T05:00:57Z,Miami Hurricanes,-108,7.5,20260111050103637889
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,fanduel,FanDuel,2026-01-11T05:00:57Z,totals,2026-01-11T05:00:57Z,Over,-112,48.5,20260111050103637889
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,fanduel,FanDuel,2026-01-11T05:00:57Z,totals,2026-01-11T05:00:57Z,Under,-108,48.5,20260111050103637889
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,lowvig,LowVig.ag,2026-01-11T05:00:17Z,h2h,2026-01-11T05:00:17Z,Indiana Hoosiers,-305,,20260111050103637889
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,lowvig,LowVig.ag,2026-01-11T05:00:17Z,h2h,2026-01-11T05:00:17Z,Miami Hurricanes,249,,20260111050103637889
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,lowvig,LowVig.ag,2026-01-11T05:00:17Z,spreads,2026-01-11T05:00:17Z,Indiana Hoosiers,-109,-7.5,20260111050103637889
NCAAF,americanfootball_ncaaf,b9d4c49ff5254d29e970cbb40bb6b2ea,2026-01-20T00:30:00Z,Indiana Hoosiers,Miami Hurricanes,lowvig,LowVig.ag,2026-01-11T05:00:17Z,spreads,2026-01-11T05:00:17Z,Miami Hurricanes,-103,7.5,20260111050103637889
