sport,sport_key,game_id,game_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market,market_last_update,team,price,point,query_time
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:00:00Z,Texas State Bobcats,Rice Owls,fanduel,FanDuel,2026-01-02T05:50:19Z,h2h,2026-01-02T05:50:19Z,Rice Owls,530,,20260102055040575685
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:00:00Z,Texas State Bobcats,Rice Owls,fanduel,FanDuel,2026-01-02T05:50:19Z,h2h,2026-01-02T05:50:19Z,Texas State Bobcats,-750,,20260102055040575685
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:00:00Z,Texas State Bobcats,Rice Owls,fanduel,FanDuel,2026-01-02T05:50:19Z,spreads,2026-01-02T05:50:19Z,Rice Owls,-108,16.5,20260102055040575685
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:00:00Z,Texas State Bobcats,Rice Owls,fanduel,FanDuel,2026-01-02T05:50:19Z,spreads,2026-01-02T05:50:19Z,Texas State Bobcats,-112,-16.5,20260102055040575685
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:00:00Z,Texas State Bobcats,Rice Owls,fanduel,FanDuel,2026-01-02T05:50:19Z,totals,2026-01-02T05:50:19Z,Over,-105,55.5,20260102055040575685
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:00:00Z,Texas State Bobcats,Rice Owls,fanduel,FanDuel,2026-01-02T05:50:19Z,totals,2026-01-02T05:50:19Z,Under,-115,55.5,20260102055040575685
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:00:00Z,Texas State Bobcats,Rice Owls,draftkings,DraftKings,2026-01-02T05:50:07Z,h2h,2026-01-02T05:50:07Z,Rice Owls,525,,20260102055040575685
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:00:00Z,Texas State Bobcats,Rice Owls,draftkings,DraftKings,2026-01-02T05:50:07Z,h2h,2026-01-02T05:50:07Z,Texas State Bobcats,-750,,20260102055040575685
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:00:00Z,Texas State Bobcats,Rice Owls,draftkings,DraftKings,2026-01-02T05:50:07Z,spreads,2026-01-02T05:50:07Z,Rice Owls,-105,16.5,20260102055040575685
NCAAF,americanfootball_ncaaf,930671ccd2f2eb35afc046e27c999b03,2026-01-02T18:00:00Z,Texas State Bobcats,Rice Owls,draftkings,DraftKings,2026-01-02T05:50:07Z,spreads,2026-01-02T05:50:07Z,Texas State Bobcats,-115,-16.5,20260102055040575685
