sport,sport_key,game_id,game_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market,market_last_update,team,price,point,query_time
NCAAF,americanfootball_ncaaf,123a238486098cc9e8f71fea0cf4e7b0,2026-08-29T16:00:00Z,Virginia Cavaliers,NC State Wolfpack,fanduel,FanDuel,2026-04-14T11:58:05Z,h2h,2026-04-14T11:58:05Z,NC State Wolfpack,146,,20260414115826312583
NCAAF,americanfootball_ncaaf,123a238486098cc9e8f71fea0cf4e7b0,2026-08-29T16:00:00Z,Virginia Cavaliers,NC State Wolfpack,fanduel,FanDuel,2026-04-14T11:58:05Z,h2h,2026-04-14T11:58:05Z,Virginia Cavaliers,-176,,20260414115826312583
NCAAF,americanfootball_ncaaf,123a238486098cc9e8f71fea0cf4e7b0,2026-08-29T16:00:00Z,Virginia Cavaliers,NC State Wolfpack,fanduel,FanDuel,2026-04-14T11:58:05Z,spreads,2026-04-14T11:58:05Z,NC State Wolfpack,-105,3.5,20260414115826312583
NCAAF,americanfootball_ncaaf,123a238486098cc9e8f71fea0cf4e7b0,2026-08-29T16:00:00Z,Virginia Cavaliers,NC State Wolfpack,fanduel,FanDuel,2026-04-14T11:58:05Z,spreads,2026-04-14T11:58:05Z,Virginia Cavaliers,-115,-3.5,20260414115826312583
NCAAF,americanfootball_ncaaf,123a238486098cc9e8f71fea0cf4e7b0,2026-08-29T16:00:00Z,Virginia Cavaliers,NC State Wolfpack,fanduel,FanDuel,2026-04-14T11:58:05Z,totals,2026-04-14T11:58:05Z,Over,-105,54.5,20260414115826312583
NCAAF,americanfootball_ncaaf,123a238486098cc9e8f71fea0cf4e7b0,2026-08-29T16:00:00Z,Virginia Cavaliers,NC State Wolfpack,fanduel,FanDuel,2026-04-14T11:58:05Z,totals,2026-04-14T11:58:05Z,Under,-115,54.5,20260414115826312583
NCAAF,americanfootball_ncaaf,123a238486098cc9e8f71fea0cf4e7b0,2026-08-29T16:00:00Z,Virginia Cavaliers,NC State Wolfpack,bovada,Bovada,2026-04-14T11:52:38Z,h2h,2026-04-14T11:52:38Z,NC State Wolfpack,145,,20260414115826312583
NCAAF,americanfootball_ncaaf,123a238486098cc9e8f71fea0cf4e7b0,2026-08-29T16:00:00Z,Virginia Cavaliers,NC State Wolfpack,bovada,Bovada,2026-04-14T11:52:38Z,h2h,2026-04-14T11:52:38Z,Virginia Cavaliers,-170,,20260414115826312583
NCAAF,americanfootball_ncaaf,123a238486098cc9e8f71fea0cf4e7b0,2026-08-29T16:00:00Z,Virginia Cavaliers,NC State Wolfpack,bovada,Bovada,2026-04-14T11:52:38Z,spreads,2026-04-14T11:52:38Z,NC State Wolfpack,-105,3.5,20260414115826312583
NCAAF,americanfootball_ncaaf,123a238486098cc9e8f71fea0cf4e7b0,2026-08-29T16:00:00Z,Virginia Cavaliers,NC State Wolfpack,bovada,Bovada,2026-04-14T11:52:38Z,spreads,2026-04-14T11:52:38Z,Virginia Cavaliers,-115,-3.5,20260414115826312583
NCAAF,americanfootball_ncaaf,123a238486098cc9e8f71fea0cf4e7b0,2026-08-29T16:00:00Z,Virginia Cavaliers,NC State Wolfpack,bovada,Bovada,2026-04-14T11:52:38Z,totals,2026-04-14T11:52:38Z,Over,-105,54.5,20260414115826312583
NCAAF,americanfootball_ncaaf,123a238486098cc9e8f71fea0cf4e7b0,2026-08-29T16:00:00Z,Virginia Cavaliers,NC State Wolfpack,bovada,Bovada,2026-04-14T11:52:38Z,totals,2026-04-14T11:52:38Z,Under,-115,54.5,20260414115826312583
NCAAF,americanfootball_ncaaf,2c288580da16e12d35355f2548721be6,2026-08-29T16:00:00Z,TCU Horned Frogs,North Carolina Tar Heels,fanduel,FanDuel,2026-04-14T11:58:05Z,h2h,2026-04-14T11:58:05Z,North Carolina Tar Heels,210,,20260414115826312583
NCAAF,americanfootball_ncaaf,2c288580da16e12d35355f2548721be6,2026-08-29T16:00:00Z,TCU Horned Frogs,North Carolina Tar Heels,fanduel,FanDuel,2026-04-14T11:58:05Z,h2h,2026-04-14T11:58:05Z,TCU Horned Frogs,-260,,20260414115826312583
NCAAF,americanfootball_ncaaf,2c288580da16e12d35355f2548721be6,2026-08-29T16:00:00Z,TCU Horned Frogs,North Carolina Tar Heels,fanduel,FanDuel,2026-04-14T11:58:05Z,spreads,2026-04-14T11:58:05Z,North Carolina Tar Heels,-102,6.5,20260414115826312583
NCAAF,americanfootball_ncaaf,2c288580da16e12d35355f2548721be6,2026-08-29T16:00:00Z,TCU Horned Frogs,North Carolina Tar Heels,fanduel,FanDuel,2026-04-14T11:58:05Z,spreads,2026-04-14T11:58:05Z,TCU Horned Frogs,-120,-6.5,20260414115826312583
NCAAF,americanfootball_ncaaf,2c288580da16e12d35355f2548721be6,2026-08-29T16:00:00Z,TCU Horned Frogs,North Carolina Tar Heels,fanduel,FanDuel,2026-04-14T11:58:05Z,totals,2026-04-14T11:58:05Z,Over,-105,50.5,20260414115826312583
